Dimension,Precision,Recall,F1,F2,AUC,Brier
Project,0.02938445877739044,0.8672079713324992,0.056774923940108434,0.12887236785911443,0.9137851546043143,0.0397751415636753
Developer,0.027080179222638577,0.8434674782849074,0.052424385265160356,0.11959669843917509,0.900812735194218,0.042010190354491744
File,0.03232392034135585,0.8887986736243857,0.06229896359943095,0.14049778165392404,0.9259711206370669,0.03696722937522562
Change,0.030976239119239912,0.8795889961662151,0.05978339739469465,0.13529425653890945,0.9208127678391558,0.03808668669926271
Text,0.030900515143152618,0.8696713945034187,0.059594742349423566,0.13463579279676371,0.9159641772088166,0.03788176369724153
Pairs,0.016333858653481147,0.681521047502285,0.03186813067763343,0.07423680457851403,0.8122270313321623,0.05744073685622945
