Dimension,Precision,Recall,F1,F2,AUC,Brier
Developer,0.0157113057023082,0.7662424332389022,0.030763848267262018,0.07237091780522026,0.8500876804302766,0.06631464472731442
Pairs,0.018021138066803898,0.7455513289646066,0.0351683711472655,0.08197155413303608,0.8447421376158488,0.05635658923072869
File,0.005860037864982445,0.08389995317667535,0.010788609238595266,0.02192252207207319,0.5302692856417159,0.024600542863306638
Change,0.005439270967996984,0.2550103037367482,0.010636734878244068,0.024936837189156697,0.5945342358575992,0.06689873895057355
Text,0.00550654645875391,0.1929274728523242,0.010681950897445502,0.024510996319240867,0.5712877393064297,0.05140396633400229
Project,0.0071573891775002,0.33060687629006436,0.013992794653639132,0.03277906537815945,0.6321453075110657,0.06714827621713312
