Dimension,Precision,Recall,F1,F2,AUC,Brier,AUC scores,Precision scores,Recall scores,F1 scores,F2 scores,Brier scores
Change,0.1719234778648338,0.13415875805518282,0.12292928647636751,0.11661465926104567,0.532006982966553,0.13267487296708727,"[0.5079755092184169, 0.5416281109581985, 0.5333438203947256, 0.5470008574446116, 0.534906412775814, 0.5377294795149836, 0.529284374799045, 0.5222796925633286, 0.5287983453738264, 0.5371232266225799]","[0.015711923019094874, 0.0742770424078914, 0.11502516175413371, 0.1561816192560175, 0.21505376344086022, 0.28497743391360414, 0.23956661316211877, 0.2151735962280326, 0.22384524279510462, 0.17942238267148014]","[0.22116402116402117, 0.26212436774769415, 0.12725344644750794, 0.14474017743979722, 0.1016419077404222, 0.11435963777490298, 0.09113112501908105, 0.07604908347220118, 0.09118687680926343, 0.11193693693693693]","[0.029339510072295922, 0.1157535146498489, 0.12083071113908118, 0.1502433890277595, 0.13804088133793468, 0.16322008862629248, 0.13203582881787018, 0.1123796731587195, 0.12958519026396983, 0.1378640776699029]","[0.06117550638098583, 0.17407626951195415, 0.1246041223197134, 0.14689236468409136, 0.11362643125600909, 0.1299159367468109, 0.1040214664064678, 0.08734384243310019, 0.10344827586206896, 0.12104237700925474]","[0.21358518541399601, 0.20788607966392264, 0.10788144624461365, 0.09975751772282886, 0.10029808330887918, 0.1399910420560026, 0.12122569385454152, 0.12247671706797227, 0.11764251625557941, 0.09600444808253664]"
Text,0.16313025828179442,0.13610039155610285,0.11030275241002027,0.10540723601579498,0.5326397368250343,0.1345792083030874,"[0.5465434564506695, 0.5546860360154302, 0.5478686765128521, 0.5322041596173563, 0.5379468471784299, 0.5509565268668537, 0.5297379738301443, 0.5145435011386771, 0.5062847941140163, 0.5056253965259139]","[0.019108611892117048, 0.0901999560536146, 0.1319324090121317, 0.14335060449050085, 0.2214257268020709, 0.33436628447474437, 0.26021798365122617, 0.18664047151277013, 0.13264248704663212, 0.11141804788213629]","[0.38835978835978835, 0.24427253793513834, 0.1614528101802757, 0.10519645120405577, 0.10867865519937452, 0.13958602846054333, 0.08746756220424362, 0.057567035297682166, 0.04117079446767449, 0.02725225225225225]","[0.036424991315567465, 0.13174997994062423, 0.1452074391988555, 0.12134502923976608, 0.14579782352169923, 0.19695172036141279, 0.13092653947218097, 0.08799351626722242, 0.06283750613647521, 0.04379297864639884]","[0.07983120160097451, 0.18207220793045328, 0.154537149817296, 0.1111111111111111, 0.12100108813928183, 0.15799338155621284, 0.10085897345631205, 0.06680731364275667, 0.04775763002760988, 0.032102302875941846]","[0.2998903424096869, 0.16712743447572861, 0.11073872148516534, 0.09282283349035476, 0.10062242266050937, 0.13589818833305017, 0.11748806894527931, 0.12165814632338177, 0.11793596614514958, 0.08160995876256814]"
Developer,0.21222420242890538,0.6886604123733541,0.31878887765690056,0.4639118221131494,0.7463793926298614,0.2061114800685746,"[0.8706122065139024, 0.819159000043554, 0.7893801351056989, 0.7913761946410525, 0.7342602929307921, 0.7046693831196846, 0.7321499085321126, 0.6879592408503088, 0.6607258032283178, 0.6735017613331906]","[0.1677762982689747, 0.16605870138616083, 0.17789804469273743, 0.21368428500672185, 0.20875697913605643, 0.30434782608695654, 0.2688086332699736, 0.22778091473743647, 0.2117021957621151, 0.17542814594192108]","[0.8, 0.8803927402558762, 0.8104453870625663, 0.7655259822560203, 0.6942924159499609, 0.593143596377749, 0.6692108075103038, 0.6111195273443417, 0.531843036346092, 0.5306306306306307]","[0.2773802971931756, 0.2794145420207743, 0.2917541515556404, 0.334107755282664, 0.3209976955401925, 0.4022812020179864, 0.38355205599300085, 0.33186623339229154, 0.30285269472045423, 0.263682148852826]","[0.4561911658218682, 0.47324313085756325, 0.47363039167079823, 0.5047972453448334, 0.47386536460417833, 0.49853213004240515, 0.5156069908028132, 0.45722446388901483, 0.40834218259946164, 0.37768515549855725]","[0.060836795527205896, 0.2357174849799991, 0.22923069794739526, 0.1859236721392497, 0.23208797318794694, 0.21043446028387416, 0.2176471496748884, 0.250868766120438, 0.23514602993188874, 0.2032217708928599]"
Project,0.11014061928543076,0.534967327568443,0.16715981020361503,0.2536550211233838,0.5640412750325275,0.42282885693545647,"[0.498800016054961, 0.5298306215580073, 0.6008039863007326, 0.5872977900091589, 0.6018688900774163, 0.5705256467732406, 0.5804522004968203, 0.5840830589624799, 0.5179054420303948, 0.568845098062063]","[0.014560542018896071, 0.05568233683249658, 0.0828890799656062, 0.08574388091767053, 0.12814083209661736, 0.17915836653386455, 0.1698181554734478, 0.16086519709237043, 0.10483518405176183, 0.11971261787157611]","[0.9915343915343915, 0.834870574233859, 0.6389183457051962, 0.5665399239543726, 0.48944487881157156, 0.3723156532988357, 0.35780796824912225, 0.4123617633691865, 0.3856545513026697, 0.3002252252252252]","[0.028699633980121597, 0.10440153290917885, 0.14674095046731817, 0.14894538669154644, 0.20310662286571765, 0.2419097251407918, 0.23032327797975827, 0.2314429045149222, 0.1648563178880792, 0.1711717495987159]","[0.06876357658662596, 0.2197784983630183, 0.272852840613183, 0.2670506141566697, 0.31296087989001375, 0.3062744764175038, 0.29294873397155496, 0.31413733410271205, 0.25112051271310687, 0.23066274441944973]","[0.979551176116268, 0.7435402412466987, 0.4328694765780654, 0.39447387523746275, 0.303473520008649, 0.2785920583193044, 0.24195715631612275, 0.2792098475605047, 0.3752451851051014, 0.19937603286638764]"
File,0.11971286831801001,0.12231973132014644,0.0844017843694599,0.0859470976286492,0.5207290409413334,0.1461102444900922,"[0.5118736968820039, 0.5639907950793673, 0.5425391406087974, 0.533968147518995, 0.5248622722734129, 0.5033253660008937, 0.5034563217426865, 0.5068797652230992, 0.5052017440711296, 0.5111931600129487]","[0.015531104528142192, 0.09348557447242328, 0.12475247524752475, 0.13053097345132744, 0.1395709485655208, 0.13988229968311452, 0.12786885245901639, 0.14829545454545454, 0.12663526949241236, 0.15057573073516387]","[0.38835978835978835, 0.2728354656352276, 0.15031813361611876, 0.11964512040557668, 0.1055512118842846, 0.03997412677878396, 0.029766447870554113, 0.039539463717618545, 0.03891926664522354, 0.038288288288288286]","[0.029867751780264497, 0.1392558845861807, 0.13634724059155945, 0.1248512101573866, 0.12020033388981637, 0.06217929369151826, 0.048291233283803865, 0.062432723358449946, 0.05953991880920163, 0.06105225354641767]","[0.06694636993797884, 0.19717885864189566, 0.1443997351398156, 0.12167457207671685, 0.11096042411539885, 0.04663587793172145, 0.035161744022503515, 0.046335747763101835, 0.04517791136168465, 0.044999735295674734]","[0.36821783248644724, 0.1750814709561833, 0.11093950298855546, 0.1021977852255703, 0.12209059879222203, 0.14396033793071494, 0.11870820269665004, 0.12107124654424144, 0.11807496872441967, 0.08076049855591765]"
