Source,has_feature_addition,deletions,cross_project_changes,insertions,num_file_types,is_preventive,last_mth_cro_proj_nbr,project_changes_owner,whole_changes_owner,is_refactoring,cross_project_changes_owner,description_word_count,whole_within_project_changes,is_merge,num_directory_files,within_project_changes,is_corrective,description_length,num_file_changes,project_age,is_non_functional,subject_length,within_project_changes_owner,num_dev_modified_files,avg_num_dev_modified_files,code_churn,last_mth_dep_proj_nbr,ratio_dep_chan_owner,projects_contributed_owner,is_dependent,Source_repo,reviewers,is_cross,insertions_target,deletions_target,code_churn_target,num_directory_files_target,is_corrective_target,is_refactoring_target,is_preventive_target,is_non_functional_target,has_feature_addition_target,is_merge_target,cross_project_changes_owner_target,within_project_changes_owner_target,whole_changes_owner_target,projects_contributed_owner_target,project_changes_owner_target,ratio_dep_chan_owner_target,project_age_target,last_mth_dep_proj_nbr_target,last_mth_cro_proj_nbr_target,cross_project_changes_target,within_project_changes_target,whole_within_project_changes_target,num_file_changes_target,num_file_types_target,num_dev_modified_files_target,avg_num_dev_modified_files_target,description_word_count_target,description_length_target,subject_length_target,number_target,Target_repo,Target,Source_date,Target_date,Source_author,Target_author,changed_files_overlap,cmn_dev_pctg,num_shrd_file_tkns,num_shrd_desc_tkns,dev_in_src_change_nbr,src_trgt_co_changed_nbr
56,0,1,0,3,1,0,0,2,2,0,0,5,0,0,1,0,0,30,4,91975.0,0,29,0,1,1.0,4,0,0.0,1,0,openstack/keystone,"[3, 5, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:06:36,2025-07-04 11:04:23,8,8064,1.2352941176470589,0.0,0.8095238095238095,0.0975609756097561,0,0
58,0,9,0,35,1,1,0,0,0,1,0,13,0,0,2,0,0,70,1,94205.0,0,69,0,1,0.5,44,0,0.0,0,0,openstack/keystone,"[1, 5, 679, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:46,2025-07-04 11:04:23,5,8064,1.2941176470588236,0.0,0.7727272727272727,0.0975609756097561,0,0
59,0,4,0,19,1,0,0,0,0,0,0,37,0,0,1,0,0,204,1,94205.0,0,51,0,1,1.0,23,0,0.0,0,0,openstack/keystone,"[1, 5, 679, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:46,2025-07-04 11:04:23,5,8064,1.3125,0.0,0.7619047619047619,0.0975609756097561,0,0
57,0,6,0,0,1,0,0,0,0,1,0,8,0,1,1,0,1,90,1,94205.0,0,35,0,1,1.0,6,0,0.0,0,0,openstack/keystone,"[1, 3, 5, 8, 679, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:46,2025-07-04 11:04:23,5,8064,1.3125,0.0,0.7619047619047619,0.0975609756097561,0,0
60,0,1,0,1,1,0,0,3,3,0,0,4,0,0,1,0,0,33,1,94206.0,0,32,0,1,1.0,2,0,0.0,1,0,openstack/keystone,"[1, 5, 679]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:47,2025-07-04 11:04:23,5,8064,1.4666666666666666,0.0,0.6818181818181818,0.0975609756097561,0,0
64,0,2,0,6,1,0,0,3,3,0,0,6,0,0,1,0,0,42,3,94206.0,0,41,0,1,1.0,8,0,0.0,1,0,openstack/keystone,"[1, 5, 679, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:47,2025-07-04 11:04:23,5,8064,1.4,0.0,0.7142857142857143,0.0975609756097561,0,0
65,1,0,0,22,1,1,0,3,3,1,0,4,0,0,1,0,0,28,5,94206.0,0,27,0,1,1.0,22,0,0.0,1,0,openstack/keystone,"[1, 5, 679, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:47,2025-07-04 11:04:23,5,8064,1.3125,0.0,0.7619047619047619,0.0975609756097561,0,0
61,0,3,0,2,1,0,0,3,3,0,0,12,0,0,1,0,1,68,5,94206.0,0,67,0,1,1.0,5,0,0.0,1,0,openstack/keystone,"[1, 5, 679, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:47,2025-07-04 11:04:23,5,8064,1.3125,0.0,0.7619047619047619,0.0975609756097561,0,0
62,0,6,0,20,1,0,0,3,3,0,0,8,0,0,1,0,0,45,3,94206.0,0,44,0,1,1.0,26,0,0.0,1,0,openstack/keystone,"[1, 5, 679, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:47,2025-07-04 11:04:23,5,8064,1.4,0.0,0.7142857142857143,0.0975609756097561,0,0
63,0,12,0,1,1,0,0,3,3,0,0,12,0,0,1,0,0,69,5,94206.0,0,68,0,1,1.0,13,0,0.0,1,0,openstack/keystone,"[1, 5, 679, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:47,2025-07-04 11:04:23,5,8064,1.3125,0.0,0.7619047619047619,0.0975609756097561,0,0
66,0,9,0,10,1,0,0,3,3,0,0,12,0,0,1,0,0,76,1,94206.0,0,75,0,1,1.0,19,0,0.0,1,0,openstack/keystone,"[1, 5, 679, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:47,2025-07-04 11:04:23,5,8064,1.4666666666666666,0.0,0.6818181818181818,0.0975609756097561,0,0
67,1,1,0,24,1,1,0,3,3,0,0,65,0,0,1,0,0,458,5,94206.0,0,52,0,1,1.0,25,0,0.0,1,0,openstack/keystone,"[1, 5, 679, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:47,2025-07-04 11:04:23,5,8064,1.3125,0.0,0.7619047619047619,0.0975609756097561,0,0
