changed_files,owner_account_id,status,number,min_num_mod_file_dep_cha,max_num_mod_file_dep_cha,median_num_mod_file_dep_cha,mean_num_mod_file_dep_cha,num_mod_file_dep_cha
['requirements.txt'],11131,MERGED,415980,2,2,2.0,2.0,1
['roles/devstack-project-conf/tasks/main.yaml'],4162,MERGED,546779,0,0,0.0,0.0,0
['deployment/nova/nova-compute-container-puppet.yaml'],10135,MERGED,701975,21,21,21.0,21.0,1
['WIP'],15168,ABANDONED,253257,0,0,0.0,0.0,0
['heat/engine/stack.py'],4715,MERGED,213975,2,2,2.0,2.0,1
"['trove_tempest_plugin/tests/scenario/base_replication.py', 'trove_tempest_plugin/tests/base.py']",6732,MERGED,743415,0,2,1.0,1.0,1
['keystone/meta/heka.yml'],6794,ABANDONED,422528,0,0,0.0,0.0,0
"['hooks/charmhelpers/__init__.py', 'hooks/charmhelpers/contrib/python.py', 'hooks/charmhelpers/fetch/python/debug.py', 'hooks/charmhelpers/core/hookenv.py', 'hooks/charmhelpers/contrib/hardening/audits/apt.py']",28522,ABANDONED,732771,0,1,0.0,0.2,1
['tripleo_ansible/roles/tripleo_auditd/defaults/main.yml'],28223,MERGED,853297,2,2,2.0,2.0,1
"['neutron/tests/functional/agent/l3/test_keepalived_state_change.py', 'neutron/agent/l3/keepalived_state_change.py']",11975,MERGED,796998,1,3,2.0,2.0,2
"['openstack_dashboard/dashboards/project/instances/tables.py', 'openstack_dashboard/dashboards/admin/instances/tables.py']",11885,MERGED,331874,0,0,0.0,0.0,0
['neutron/tests/unit/objects/qos/test_policy.py'],9656,MERGED,288561,1,1,1.0,1.0,1
['etc/kayobe/inventory/groups'],28048,MERGED,786040,0,0,0.0,0.0,0
"['tests/test_shell.py', 'tests/keystone_client_fixtures.py']",7191,MERGED,141992,0,0,0.0,0.0,0
['deliverables/train/horizon.yaml'],29313,MERGED,791147,0,0,0.0,0.0,0
['doc/source/install-guide/deploymenthost.rst'],6816,MERGED,384328,0,0,0.0,0.0,0
['test-requirements.txt'],11131,MERGED,135235,0,0,0.0,0.0,0
"['tests/unit/plugins/openstack/context/network/test_network.py', 'rally/plugins/openstack/context/network/networks.py']",15029,MERGED,336406,0,0,0.0,0.0,0
"['ironic/common/cinder.py', 'releasenotes/notes/provide_mountpoint-58cfd25b6dd4cfde.yaml', 'ironic/tests/unit/common/test_cinder.py']",11655,MERGED,635062,0,0,0.0,0.0,0
['barbicanclient/barbican_cli/secrets.py'],11970,MERGED,174094,0,0,0.0,0.0,0
"['keystone/tests/unit/test_v3_federation.py', 'keystone/federation/backends/sql.py']",1941,MERGED,265279,0,1,0.5,0.5,1
"['rabbitmq.yaml', 'heat-allinone.yaml', 'mysql.yaml', 'glance.yaml', 'keystone.yaml', 'bootstack-vm.yaml', 'heat.yaml', 'nova-compute.yaml', 'quantum.yaml', 'nova-api.yaml']",6488,MERGED,46527,0,0,0.0,0.0,0
['oslo_db/sqlalchemy/test_base.py'],8124,ABANDONED,198835,0,0,0.0,0.0,0
['openstack_dashboard/dashboards/project/stacks/forms.py'],9311,MERGED,189820,0,0,0.0,0.0,0
"['manifests/api.pp', 'spec/classes/trove_api_spec.rb']",9816,MERGED,847559,1,5,3.0,3.0,2
['setup.cfg'],30619,ABANDONED,681221,4,4,4.0,4.0,1
"['lib/ceph/broker.py', 'lib/ceph/crush_utils.py', 'lib/ceph/utils.py']",12549,MERGED,524600,0,2,0.0,0.666666667,1
"['nova/virt/xenapi/driver.py', 'nova/tests/virt/xenapi/stubs.py', 'nova/virt/xenapi/vm_utils.py', 'nova/tests/virt/xenapi/test_vm_utils.py', 'nova/virt/xenapi/pool.py']",6735,MERGED,42132,0,0,0.0,0.0,0
['pymod2pkg/__init__.py'],12907,MERGED,544053,5,5,5.0,5.0,1
['tests/test-install-mongodb.yml'],1004,MERGED,546293,1,1,1.0,1.0,1
['dragonflow/controller/apps/trunk.py'],20229,MERGED,529692,0,0,0.0,0.0,0
['nova/objects/numa.py'],23598,MERGED,681397,1,1,1.0,1.0,1
"['environments/services/neutron-opendaylight-sriov.yaml', 'environments/services-docker/neutron-ml2-cisco-vts.yaml', 'environments/services-docker/undercloud-gnocchi.yaml', 'environments/services-docker/manila.yaml', 'environments/services-docker/ec2-api.yaml', 'environments/services-docker/neutron-opendaylight.yaml', 'environments/services-docker/sensu-client.yaml', 'environments/services-docker/neutron-sriov.yaml', 'environments/services/neutron-ovn-dvr-ha.yaml', 'environments/services-docker/fluentd.yaml', 'environments/services-docker/neutron-ovs-dpdk.yaml', 'environments/services-docker/sahara.yaml', 'environments/services-docker/tacker.yaml', 'environments/services-docker/etcd.yaml', 'environments/services-docker/ironic.yaml', 'environments/services-docker/neutron-ovn-dvr-ha.yaml', 'environments/services-docker/barbican.yaml', 'environments/services-docker/undercloud-keepalived.yaml', 'environments/services-docker/neutron-opendaylight-dpdk.yaml', 'environments/services-docker/neutron-ovn-ha.yaml', 'environments/neutron-ml2-ovn-ha.yaml', 'environments/services-docker/mistral.yaml', 'environments/services/neutron-ovn-ha.yaml', 'environments/neutron-ml2-ovn-dvr-ha.yaml', 'environments/services/neutron-ovn-hw-offload.yaml', 'environments/services-docker/neutron-opendaylight-sriov.yaml', 'environments/services-docker/cinder-backup.yaml', 'environments/services-docker/octavia.yaml', 'environments/services/ec2-api.yaml', 'environments/services-docker/undercloud-aodh.yaml', 'environments/services-docker/undercloud-cinder.yaml', 'environments/services-docker/ironic-inspector.yaml', 'environments/services-docker/skydive-environment.yaml', 'environments/services-docker/undercloud-haproxy.yaml', 'environments/services-docker/zaqar.yaml', 'environments/services-docker/neutron-l2gw-opendaylight.yaml', 'environments/services-docker/undercloud-ceilometer.yaml', 'environments/services-docker/undercloud-panko.yaml', 'environments/services-docker/congress.yaml', 'releasenotes/notes/containers-as-default-37bbe8afa0a60c2b.yaml', 'environments/services/neutron-lbaasv2.yaml', 'environments/services-docker/collectd.yaml', 'environments/services/ironic.yaml', 'environments/services-docker/neutron-bgpvpn-opendaylight.yaml']",6926,MERGED,586480,1,7,2.0,1.795454545,44
['devstack/computenode-local.conf.sample'],26504,MERGED,535389,1,1,1.0,1.0,1
['.zuul.d/project.yaml'],6547,MERGED,655153,17,17,17.0,17.0,1
['ironic_ui/locale/ko_KR/LC_MESSAGES/djangojs.po'],11131,MERGED,496200,0,0,0.0,0.0,0
['nova/cmd/novncproxy.py'],6896,ABANDONED,159092,0,0,0.0,0.0,0
"['neutron/plugins/ml2/drivers/arista/mechanism_arista.py', 'neutron/plugins/ml2/managers.py', 'neutron/plugins/ml2/drivers/type_vlan.py', 'neutron/plugins/ml2/drivers/arista/arista_l3_driver.py', 'neutron/plugins/ml2/drivers/freescale/mechanism_fslsdn.py', 'neutron/plugins/ml2/db.py', 'neutron/plugins/ml2/drivers/type_local.py', 'neutron/plugins/ml2/drivers/brocade/mechanism_brocade.py', 'neutron/plugins/ml2/drivers/type_flat.py', 'neutron/plugins/ml2/plugin.py']",10370,MERGED,130992,0,0,0.0,0.0,0
"['heat/tests/test_rsrc_defn.py', 'heat/engine/rsrc_defn.py']",4257,MERGED,386849,0,1,0.5,0.5,1
"['.gitignore', 'etc/ironic/ironic.conf.sample', 'doc/source/deploy/install-guide.rst', 'tools/config/oslo.config.generator.rc']",8911,ABANDONED,208398,0,2,1.5,1.25,3
"['watcher/decision_engine/strategy/strategies/host_maintenance.py', 'doc/source/contributor/plugin/strategy-plugin.rst', 'watcher/db/sqlalchemy/models.py', 'watcher/api/controllers/v1/service.py', 'watcher/api/controllers/v1/types.py', 'watcher/tests/api/test_hooks.py']",30092,MERGED,755149,0,6,0.0,1.166666667,2
"['heat/engine/placeholder.py', 'heat/tests/test_placeholder.py']",4257,NEW,606229,0,0,0.0,0.0,0
['swift/common/swob.py'],597,MERGED,233300,0,0,0.0,0.0,0
"['jenkins/jobs/ansible-role-jobs.yaml', 'zuul/layout.yaml']",4162,MERGED,306557,2,415,208.5,208.5,2
['ansible/roles/kolla-build/tasks/main.yml'],14200,MERGED,881679,0,0,0.0,0.0,0
['tasks/mq_setup.yml'],11131,MERGED,666108,1,1,1.0,1.0,1
['tox.ini'],28356,MERGED,893046,1,1,1.0,1.0,1
['tox.ini'],22816,MERGED,903017,1,1,1.0,1.0,1
['tempest/scenario/manager.py'],21683,MERGED,533567,11,11,11.0,11.0,1
['etc/neutron/plugins/vmware/nsx.ini'],9423,MERGED,157341,0,0,0.0,0.0,0
['ironic/common/neutron.py'],14525,MERGED,456900,1,1,1.0,1.0,1
['tempest/scenario/manager.py'],19138,MERGED,326279,4,4,4.0,4.0,1
"['keystone/token/controllers.py', 'keystone/models/token_model.py', 'keystone/tests/unit/token/test_token_model.py']",5046,MERGED,380664,0,0,0.0,0.0,0
['specs/xena/healthcheck-new-way.rst'],28223,ABANDONED,803152,0,0,0.0,0.0,0
['tripleo_ansible/playbooks/cli-baremetal-bios-apply.yaml'],7353,MERGED,709862,0,0,0.0,0.0,0
"['templates/plugins/ml2/ml2_conf.ini.j2', 'doc/source/configure-network-services.rst']",26729,ABANDONED,536809,1,2,1.5,1.5,2
"['tests/run.yml', 'tools/setup_gate.sh']",22629,MERGED,736744,25,34,29.5,29.5,2
"['test-requirements.txt', 'tox.ini']",6460,MERGED,143206,0,0,0.0,0.0,0
['nova/api/openstack/compute/servers.py'],14473,ABANDONED,518740,9,9,9.0,9.0,1
"['test-requirements.txt', 'doc/source/conf.py', 'lower-constraints.txt', 'doc/requirements.txt', 'releasenotes/source/conf.py']",6547,MERGED,729515,0,3,0.0,1.2,2
['cue/objects/utils.py'],22255,ABANDONED,468821,0,0,0.0,0.0,0
['tools/python3-first/propose.sh'],2472,MERGED,592098,0,0,0.0,0.0,0
['.zuul.yaml'],841,MERGED,560443,6,6,6.0,6.0,1
['.gitreview'],10239,MERGED,228476,0,0,0.0,0.0,0
['fuelweb_test/tests/tests_strength/test_cic_maintenance_mode.py'],11587,MERGED,252947,0,0,0.0,0.0,0
['CONTRIBUTING.rst'],6763,MERGED,103758,0,0,0.0,0.0,0
['zuul.d/projects.yaml'],22816,MERGED,832939,21,21,21.0,21.0,1
['pages/operations/troubleshoot/9105-crm-resources.rst'],11090,MERGED,147188,0,0,0.0,0.0,0
['keystone/middleware/auth.py'],8482,MERGED,514810,2,2,2.0,2.0,1
"['tempest/api/compute/volumes/test_volumes_list.py', 'tempest/api/compute/servers/test_servers_negative.py', 'tempest/api/compute/test_authorization.py', 'tempest/api/compute/v3/images/test_list_image_filters.py', 'tempest/api/compute/servers/test_virtual_interfaces.py', 'tempest/api/compute/v3/images/test_images_oneserver_negative.py', 'tempest/api/compute/v3/servers/test_servers_negative.py', 'tempest/api/compute/security_groups/test_security_groups_negative.py', 'tempest/api/compute/admin/test_fixed_ips_negative.py', 'tempest/api/compute/v3/servers/test_list_server_filters.py', 'tempest/api/compute/images/test_list_image_filters.py', 'tempest/api/compute/floating_ips/test_floating_ips_actions_negative.py', 'tempest/api/compute/v3/images/test_images.py', 'tempest/api/compute/base.py', 'tempest/api/compute/floating_ips/test_list_floating_ips_negative.py', 'tempest/api/compute/test_extensions.py', 'tempest/api/compute/v3/test_extensions.py', 'tempest/api/compute/admin/test_fixed_ips.py', 'tempest/api/compute/v3/images/test_image_metadata.py', 'tempest/api/compute/v3/servers/test_server_actions.py', 'tempest/api/compute/images/test_list_images.py', 'tempest/api/compute/v3/servers/test_attach_interfaces.py', 'tempest/api/compute/images/test_images.py', 'tempest/api/compute/servers/test_list_server_filters.py', 'tempest/api/compute/v3/test_live_block_migration.py', 'tempest/api/compute/v3/servers/test_attach_volume.py', 'tempest/api/compute/volumes/test_attach_volume.py', 'tempest/api/compute/volumes/test_volumes_negative.py', 'tempest/api/compute/servers/test_server_actions.py', 'tempest/api/compute/servers/test_attach_interfaces.py', 'tempest/api/compute/images/test_images_oneserver_negative.py', 'tempest/api/compute/v3/admin/test_quotas.py', 'tempest/api/compute/v3/images/test_images_oneserver.py', 'tempest/api/compute/security_groups/test_security_group_rules.py', 'tempest/api/compute/test_live_block_migration.py', 'tempest/api/compute/images/test_images_oneserver.py']",5196,MERGED,69948,0,0,0.0,0.0,0
"['manifests/profile/base/manila/share.pp', 'releasenotes/notes/flashblade_driver-bd6df03b7f140071.yaml', 'manifests/profile/base/manila/api.pp']",13425,MERGED,792849,0,17,13.0,10.0,2
"['nova/tests/unit/api/openstack/compute/test_server_reset_state.py', 'nova/api/openstack/compute/admin_actions.py', 'releasenotes/notes/bug-1911924-6e93d8a5038d18c1.yaml', 'nova/compute/instance_actions.py']",10135,ABANDONED,772481,0,0,0.0,0.0,0
['metadata.json'],9414,MERGED,629722,1,1,1.0,1.0,1
['doc/source/middlewarearchitecture.rst'],6482,MERGED,315362,0,0,0.0,0.0,0
['tox.ini'],9414,MERGED,573558,0,0,0.0,0.0,0
"['debian/changelog', 'debian/setup-test-env-mongodb.sh', 'debian/functions.sh']",6476,MERGED,384450,0,0,0.0,0.0,0
['tests/ci/rally_verify.py'],9545,MERGED,397842,0,0,0.0,0.0,0
['doc/source/contributor/coding-style.rst'],9414,MERGED,688226,1,1,1.0,1.0,1
['zuul.d/base-upstream.yaml'],12393,MERGED,831488,0,0,0.0,0.0,0
['neutron/api/api_common.py'],1131,MERGED,410375,3,3,3.0,3.0,1
['deployment/octavia/octavia-api-container-puppet.yaml'],29244,MERGED,877974,26,26,26.0,26.0,1
['gnocchi/utils.py'],6537,MERGED,441984,0,0,0.0,0.0,0
"['tripleo_validations/tests/library/test_switch_vlans.py', 'validations/lookup_plugins/introspection_data.py', 'validations/switch-vlans.yaml', 'validations/library/switch_vlans.py']",21909,MERGED,512375,0,0,0.0,0.0,0
"['manifests/init.pp', 'spec/classes/cinder_spec.rb']",4128,MERGED,43894,0,0,0.0,0.0,0
"['neutron/api/v2/base.py', 'neutron/policy.py']",10237,ABANDONED,198698,1,1,1.0,1.0,2
"['fuelweb_test/tests/tests_strength/test_failover.py', 'fuelweb_test/tests/tests_strength/test_failover_base.py']",10136,MERGED,246372,0,0,0.0,0.0,0
['CONTRIBUTING.rst'],9094,MERGED,67590,0,0,0.0,0.0,0
"['.gitreview', 'test-requirements.txt', 'charmcraft.yaml', 'metadata.yaml']",33717,MERGED,852915,0,0,0.0,0.0,0
"['octane/tests/test_network.py', 'octane/util/network.py']",6677,MERGED,338242,0,0,0.0,0.0,0
['roles/IronicConductor.yaml'],24245,MERGED,621456,1,1,1.0,1.0,1
"['tripleo_ansible/roles/tripleo_sshd/defaults/main.yml', 'tripleo_ansible/roles/tripleo_sshd/templates/sshd_config_block.j2']",7353,ABANDONED,745689,0,1,0.5,0.5,1
['ceph/utils.py'],20634,MERGED,678204,23,23,23.0,23.0,1
['zuul.d/project.yaml'],3009,MERGED,887532,17,17,17.0,17.0,1
['ansible/releasenotes/notes/deprecate-xenapi-f2e56c044d9f0ed7.yaml'],30491,ABANDONED,708841,0,0,0.0,0.0,0
['heatclient/common/http.py'],8122,MERGED,74123,0,0,0.0,0.0,0
['src/build.lock'],20870,MERGED,859687,0,0,0.0,0.0,0
['zuul.d/jobs.yaml'],34429,ABANDONED,907309,37,37,37.0,37.0,1
"['doc/source/contributor/community.rst', 'doc/source/install/releases.rst']",9414,MERGED,655316,1,1,1.0,1.0,2
['doc/requirements.txt'],12898,ABANDONED,919302,1,1,1.0,1.0,1
['upper-constraints.txt'],11131,MERGED,786626,527,527,527.0,527.0,1
"['templates/overcloud_update_converge.sh.j2', 'templates/overcloud_update_prepare.sh.j2']",22895,ABANDONED,633886,1,2,1.5,1.5,2
"['nova/tests/unit/virt/libvirt/test_host.py', 'nova/virt/libvirt/host.py', 'nova/conf/libvirt.py']",11604,MERGED,821228,3,6,5.0,4.666666667,3
"['tools/setup-kubectl.sh', 'doc/source/kubernetes-all-in-one.rst']",10419,MERGED,362312,0,0,0.0,0.0,0
"['nova/tests/unit/virt/libvirt/test_host.py', 'nova/virt/libvirt/driver.py', 'nova/virt/libvirt/host.py', 'nova/tests/unit/virt/libvirt/test_driver.py']",1779,ABANDONED,148269,0,1,0.0,0.25,1
['cinder/exception.py'],1736,ABANDONED,233668,2,2,2.0,2.0,1
['keystoneclient/session.py'],7191,MERGED,95015,0,0,0.0,0.0,0
['ansible/roles/baremetal/tasks/install.yml'],20858,MERGED,393102,0,0,0.0,0.0,0
['.gitreview'],12898,MERGED,257092,0,0,0.0,0.0,0
