changed_files,owner_account_id,status,number,min_num_mod_file_dep_cha,max_num_mod_file_dep_cha,median_num_mod_file_dep_cha,mean_num_mod_file_dep_cha,num_mod_file_dep_cha
['doc/source/install-guide/configure-rabbitmq.rst'],15993,MERGED,276385,0,0,0.0,0.0,0
['manifests/scheduler.pp'],20733,MERGED,669252,0,0,0.0,0.0,0
['README.in'],12817,ABANDONED,228378,0,0,0.0,0.0,0
"['nova/virt/libvirt/driver.py', '.zuul.yaml', 'nova/conf/workarounds.py']",9708,ABANDONED,813437,4,114,103.0,73.66666667,3
['tempest/api/network/test_fwaas_extensions.py'],6890,MERGED,185575,0,0,0.0,0.0,0
['releasenotes/source/victoria.rst'],22816,MERGED,914285,0,0,0.0,0.0,0
['docker/nova/nova-libvirt/Dockerfile.j2'],30491,MERGED,830401,9,9,9.0,9.0,1
['.gitreview'],22816,MERGED,544321,0,0,0.0,0.0,0
"['hooks/neutron_api_hooks.py', 'hooks/neutron_api_utils.py', 'templates/queens/00-admin.json', 'unit_tests/test_neutron_api_utils.py']",7730,MERGED,680956,0,4,2.0,2.0,3
['run_tests.sh'],11131,MERGED,490538,0,0,0.0,0.0,0
['nodepool/nl04.openstack.org.yaml'],1004,MERGED,653878,3,3,3.0,3.0,1
['upper-constraints.txt'],841,MERGED,737505,509,509,509.0,509.0,1
['test/functional/s3api/test_xxe_injection.py'],15343,MERGED,875254,0,0,0.0,0.0,0
['etc/solum/templates/basic.yaml'],9537,MERGED,83827,0,0,0.0,0.0,0
"['nova/virt/libvirt/driver.py', 'nova/tests/functional/libvirt/test_live_migration.py', 'nova/virt/libvirt/migration.py', 'nova/tests/unit/virt/libvirt/test_migration.py', 'nova/tests/unit/virt/libvirt/test_driver.py']",16207,MERGED,915139,0,112,1.0,37.8,3
['setup.cfg'],27336,ABANDONED,623798,0,0,0.0,0.0,0
['specs/7.0/upgrade-major-openstack-environment.rst'],6677,MERGED,185136,0,0,0.0,0.0,0
