changed_files,owner_account_id,status,number,min_num_mod_file_dep_cha,max_num_mod_file_dep_cha,median_num_mod_file_dep_cha,mean_num_mod_file_dep_cha,num_mod_file_dep_cha
['gerritbot/channels.yaml'],15905,ABANDONED,527865,275,275,275.0,275.0,1
"['jenkins/jobs/projects.yaml', 'gerrit/projects.yaml', 'zuul/layout.yaml']",20812,MERGED,429837,266,766,482.0,504.6666667,3
['tox.ini'],2472,MERGED,606658,5,5,5.0,5.0,1
['test-requirements.txt'],11131,MERGED,431984,0,0,0.0,0.0,0
['lib/nova'],14591,MERGED,350279,28,28,28.0,28.0,1
"['sushy_tools/emulator/resources/systems/novadriver.py', 'sushy_tools/emulator/resources/systems/base.py']",10239,MERGED,830157,0,0,0.0,0.0,0
['tox.ini'],28543,ABANDONED,620487,1,1,1.0,1.0,1
['README.rst'],20863,MERGED,487064,1,1,1.0,1.0,1
"['tempest/tests/test_glance_http.py', 'tempest/common/glance_http.py', 'tempest/exceptions.py', 'tempest/common/service_client.py']",5689,MERGED,148437,0,0,0.0,0.0,0
"['oslo/messaging/_drivers/amqpdriver.py', 'oslo/messaging/_drivers/base.py', 'oslo/messaging/transport.py', 'oslo/messaging/notify/_impl_messaging.py', 'tests/test_transport.py', 'oslo/messaging/_drivers/impl_fake.py', 'tests/test_notifier.py']",1247,MERGED,39825,0,0,0.0,0.0,0
['deliverables/_independent/openstackdocstheme.yaml'],964,MERGED,479381,0,0,0.0,0.0,0
['vitrage/entity_graph/processor/processor.py'],19159,MERGED,610337,5,5,5.0,5.0,1
['deliverables/_independent/hacking.yaml'],8556,MERGED,715578,0,0,0.0,0.0,0
"['jenkins/jobs/puppet-module-jobs.yaml', 'zuul/layout.yaml']",3153,MERGED,321837,3,471,237.0,237.0,2
['watcherclient/shell.py'],6476,NEW,823107,0,0,0.0,0.0,0
"['doc/source/admin/index.rst', 'doc/source/index.rst', 'doc/source/install/source-install-ubuntu.rst', 'doc/source/test/how-to-edit-e2e-case.rst', 'doc/source/configuration/skyline-console-settings.rst', 'doc/source/glossary.rst', 'doc/source/development/index.rst', 'doc/source/development/how-to-develop.rst']",33196,MERGED,857251,0,0,0.0,0.0,0
"['solum/common/solum_glanceclient.py', 'solum/api/handlers/language_pack_handler.py']",2506,MERGED,313170,0,0,0.0,0.0,0
"['metadata.json', 'releasenotes/source/conf.py']",3153,MERGED,386570,0,0,0.0,0.0,0
"['neutron_lib/hacking/checks.py', 'neutron_lib/tests/unit/hacking/test_checks.py', 'HACKING.rst']",9656,MERGED,345026,0,0,0.0,0.0,0
"['ovn_octavia_provider/tests/unit/test_driver.py', 'ovn_octavia_provider/driver.py']",34451,MERGED,844059,2,2,2.0,2.0,2
['devstack-vm-gate.sh'],10342,MERGED,350795,45,45,45.0,45.0,1
['.zuul.yaml'],22816,MERGED,753341,3,3,3.0,3.0,1
"['neutron/context.py', 'neutron/tests/unit/test_api_v2_resource.py']",1313,MERGED,136956,0,0,0.0,0.0,0
"['ceilometer/tests/unit/publisher/test_gnocchi.py', 'ceilometer/publisher/gnocchi.py']",6737,MERGED,878128,0,2,1.0,1.0,1
"['debian/changelog', 'debian/control']",16896,ABANDONED,403384,0,0,0.0,0.0,0
['heat/engine/resources/loadbalancer.py'],4715,ABANDONED,39255,0,0,0.0,0.0,0
"['cinder/volume/drivers/hitachi/hbsd_iscsi.py', 'cinder/volume/drivers/hitachi/vsp_fc.py', 'releasenotes/notes/hitachi-unsupported-drivers-37601e5bfabcdb8f.yaml', 'cinder/volume/drivers/hitachi/hbsd_fc.py', 'cinder/volume/drivers/hitachi/vsp_iscsi.py']",14865,MERGED,451923,0,0,0.0,0.0,0
['test-requirements.txt'],11131,MERGED,478043,1,1,1.0,1.0,1
"['etc/heat/heat.conf.sample', 'heat/tests/test_nested_stack.py', 'heat/common/exception.py', 'heat/engine/stack_resource.py', 'heat/common/config.py']",6488,MERGED,43044,0,0,0.0,0.0,0
['nodepool/nodepool.yaml'],4162,MERGED,467381,13,13,13.0,13.0,1
['octane/handlers/upgrade/ceph_osd.py'],19157,MERGED,349436,0,0,0.0,0.0,0
['setup.cfg'],33161,MERGED,789512,0,0,0.0,0.0,0
['doc/source/guides/multinode-lab.rst'],13111,MERGED,395416,0,0,0.0,0.0,0
['oslo_service/__init__.py'],20312,ABANDONED,760779,1,1,1.0,1.0,1
['deliverables/stein/os-resource-classes.yaml'],11564,MERGED,632123,0,0,0.0,0.0,0
['nova/virt/libvirt/config.py'],6873,MERGED,129117,0,0,0.0,0.0,0
['metadata.rb'],7128,ABANDONED,154641,0,0,0.0,0.0,0
"['nova/policies/volumes_attachments.py', 'nova/tests/unit/test_policy.py', 'nova/tests/unit/policies/test_volumes.py']",26458,MERGED,710190,0,6,0.0,2.0,1
"['deployment/puppet/sahara/manifests/api.pp', 'deployment/puppet/sahara/manifests/init.pp', 'deployment/puppet/osnailyfacter/modular/sahara/sahara.pp']",7745,ABANDONED,159112,0,0,0.0,0.0,0
