changed_files,owner_account_id,status,number,min_num_mod_file_dep_cha,max_num_mod_file_dep_cha,median_num_mod_file_dep_cha,mean_num_mod_file_dep_cha,num_mod_file_dep_cha
"['jenkins/jobs/karbor.yaml', 'jenkins/jobs/projects.yaml']",20883,ABANDONED,410123,0,428,214.0,214.0,1
"['deliverables/train/karbor.yaml', 'deliverables/train/python-karborclient.yaml', 'deliverables/train/karbor-dashboard.yaml']",17685,MERGED,790749,0,0,0.0,0.0,0
"['spec/classes/manila_share_spec.rb', 'releasenotes/notes/manila-share-opts-197486b3a132dc58.yaml', 'manifests/share.pp']",9816,MERGED,897511,0,0,0.0,0.0,0
['metadata.yaml'],31289,MERGED,770296,0,0,0.0,0.0,0
['monasca_agent/collector/checks_d/http_check.py'],16957,MERGED,745159,1,1,1.0,1.0,1
['os_loganalyze/view.py'],24162,MERGED,613383,0,0,0.0,0.0,0
['inventory/group_vars/all/octavia.yml'],16011,MERGED,868461,1,1,1.0,1.0,1
"['examples/apiserver.pp', 'examples/init.pp', 'examples/storm.pp']",16137,MERGED,624643,0,0,0.0,0.0,0
"['.gitignore', 'test-requirements.txt', 'doc/requirements.txt', 'tox.ini']",15519,ABANDONED,769203,0,0,0.0,0.0,0
['nova/tests/unit/fake_notifier.py'],4393,MERGED,142175,0,0,0.0,0.0,0
['upper-constraints.txt'],11131,MERGED,841572,557,557,557.0,557.0,1
"['neutron/common/constants.py', 'neutron/api/v2/base.py', 'neutron/tests/unit/test_policy.py', 'neutron/policy.py']",5367,MERGED,647803,4,9,7.0,6.75,4
['zuul/layout.yaml'],6854,MERGED,198960,107,107,107.0,107.0,1
['openstack/config/cloud_region.py'],9542,MERGED,757088,9,9,9.0,9.0,1
['zuul.d/project.yaml'],10239,MERGED,701587,8,8,8.0,8.0,1
['zuul.d/layout.yaml'],3153,MERGED,521299,1,1,1.0,1.0,1
['requirements.txt'],11131,MERGED,529941,13,13,13.0,13.0,1
['reference/projects.yaml'],1669,ABANDONED,192685,36,36,36.0,36.0,1
"['monitoring/alarmdefs/views.py', 'monitoring/alarmdefs/forms.py']",18286,MERGED,241906,0,0,0.0,0.0,0
"['kuryr_kubernetes/controller/drivers/namespace_security_groups.py', 'kuryr_kubernetes/opts.py', 'devstack/plugin.sh', 'kuryr_kubernetes/controller/drivers/namespace_subnet.py', 'setup.cfg', 'kuryr_kubernetes/controller/handlers/namespace.py', 'devstack/settings']",23567,MERGED,579181,0,9,1.0,2.142857143,5
"['tasks/main.yml', 'templates/openstack_dashboard.conf.j2']",32666,MERGED,879514,4,4,4.0,4.0,2
['.zuul.yaml'],13861,MERGED,806090,57,57,57.0,57.0,1
"['multi-node-aio/playbooks/osa/user_mnaio_variables.yml', 'multi-node-aio/playbooks/pxe/acng.conf.j2']",7414,MERGED,611167,0,0,0.0,0.0,0
"['test/unit/proxy/test_server.py', 'swift/proxy/controllers/obj.py']",2622,MERGED,119442,0,0,0.0,0.0,0
['tasks/mq_setup.yml'],11131,MERGED,664728,1,1,1.0,1.0,1
"['environments/inject-trust-anchor-debian.yaml', 'firstboot/no-ssl-ca.yaml', 'puppet/controller.yaml', 'overcloud-resource-registry-puppet.yaml', 'firstboot/ssl-ca-cloud-init.yaml', 'puppet/swift-storage.yaml', 'puppet/compute.yaml', 'puppet/ceph-storage.yaml', 'environments/inject-trust-anchor-red-hat.yaml', 'puppet/cinder-storage.yaml']",10873,MERGED,241200,0,10,2.0,3.1,9
['ironic_python_agent/hardware.py'],14826,MERGED,645263,16,16,16.0,16.0,1
['.gitreview'],22816,NEW,917221,0,0,0.0,0.0,0
"['mistral/tests/unit/workflow/test_states.py', 'mistral/workflow/states.py', 'mistral/tests/unit/engine/base.py', 'mistral/tests/unit/engine/test_policies.py', 'mistral/engine/policies.py', 'mistral/engine/default_engine.py']",8731,MERGED,227728,0,0,0.0,0.0,0
"['ironic/drivers/modules/agent_client.py', 'ironic/drivers/modules/agent_base.py', 'ironic/tests/unit/drivers/modules/test_agent_base.py']",11292,MERGED,720781,0,10,0.0,3.333333333,1
"['api-ref/source/parameters.yaml', 'api-ref/source/os-consoles.inc']",15293,MERGED,317536,0,0,0.0,0.0,0
['requirements.txt'],11131,MERGED,440098,4,4,4.0,4.0,1
['spec/identity_registration-suse_spec.rb'],2340,MERGED,103517,0,0,0.0,0.0,0
"['templates/mitaka/cinder.conf', 'templates/ocata/cinder.conf']",8108,MERGED,578640,0,0,0.0,0.0,0
"['neutron_lib/tests/unit/api/definitions/test_qos_rules_alias.py', 'releasenotes/notes/qos-rules-alias-ext-c13417dcb3d81130.yaml', 'neutron_lib/api/definitions/__init__.py', 'neutron_lib/api/definitions/qos_rules_alias.py', 'neutron_lib/api/definitions/base.py']",4694,MERGED,608473,0,6,0.0,2.4,2
"['nova/tests/unit/cmd/test_status.py', 'nova/cmd/status.py']",7166,ABANDONED,427200,0,0,0.0,0.0,0
"['doc/source/middleware.rst', 'doc/source/misc.rst']",7847,MERGED,72922,0,0,0.0,0.0,0
['doc/install-guide/source/keystone-openrc.rst'],9515,MERGED,296717,0,0,0.0,0.0,0
['octavia/common/base_taskflow.py'],11628,MERGED,518812,0,0,0.0,0.0,0
"['keystoneclient/tests/test_auth_token_middleware.py', 'keystoneclient/middleware/auth_token.py']",7191,MERGED,77491,0,0,0.0,0.0,0
['nailgun/static/templates/dialogs/create_cluster_wizard.html'],9091,MERGED,56649,0,0,0.0,0.0,0
['tripleo_common/image/image_export.py'],14985,MERGED,775107,3,3,3.0,3.0,1
['muranodashboard/images/views.py'],14107,MERGED,230748,0,0,0.0,0.0,0
['glance/tests/utils.py'],4393,MERGED,746746,2,2,2.0,2.0,1
"['src/tests/bundles/overlays/kinetic-zed-pacemaker-remote-ssl.yaml.j2', 'src/tests/bundles/kinetic-zed-pacemaker-remote-ssl.yaml', 'src/tests/bundles/jammy-zed-pacemaker-remote-ssl.yaml', 'src/tests/bundles/overlays/jammy-zed-pacemaker-remote-ssl.yaml.j2']",11805,ABANDONED,845450,0,0,0.0,0.0,0
"['container-images/kolla/ec2-api/extend_start.sh', 'container-images/tcib/base/os/ec2-api/ec2-api.yaml', 'container-images/kolla/base/uid_gid_manage.sh', 'container-images/tripleo_containers.yaml']",3153,MERGED,749783,0,4,0.0,1.0,1
['.zuul.yaml'],11604,ABANDONED,701607,4,4,4.0,4.0,1
"['releasenotes/source/index.rst', 'releasenotes/source/stein.rst']",22816,MERGED,653756,0,0,0.0,0.0,0
"['specs/liberty/rug_ha.rst', 'devstack/README.md']",27190,ABANDONED,542571,0,0,0.0,0.0,0
['.zuul.yaml'],8122,NEW,920679,47,47,47.0,47.0,1
"['heat/engine/resources/stack_resource.py', 'heat/tests/test_stack_resource.py']",4257,MERGED,298835,3,4,3.5,3.5,2
['translator/toscalib/tests/test_toscatpl.py'],6456,MERGED,143225,0,0,0.0,0.0,0
['requirements.txt'],11131,MERGED,453892,15,15,15.0,15.0,1
"['releasenotes/notes/fix-apparmor-libvirt-profile-removal-01db6ca6dd66879f.yaml', 'ansible/roles/baremetal/tasks/post-install.yml']",14200,MERGED,828692,0,7,3.5,3.5,1
"['requirements.txt', 'setup.py', 'doc/requirements.txt']",12898,ABANDONED,918873,0,1,0.0,0.333333333,1
['README.rst'],26775,ABANDONED,557278,0,0,0.0,0.0,0
['manifests/placement.pp'],9816,MERGED,732075,1,1,1.0,1.0,1
"['puppet/services/openvswitch.yaml', 'docker/services/iscsid.yaml']",3153,MERGED,500596,0,2,1.0,1.0,1
['test-requirements.txt'],26617,ABANDONED,505925,0,0,0.0,0.0,0
"['tests/tests.yaml', 'tests/bundles/focal-victoria-namespaced.yaml', 'tests/bundles/focal-victoria.yaml', 'tests/bundles/groovy-victoria-namespaced.yaml', 'tests/bundles/groovy-victoria.yaml']",31289,MERGED,739755,0,1,0.0,0.2,1
"['requirements.txt', 'test-requirements.txt']",11131,MERGED,137580,0,0,0.0,0.0,0
