has_feature_addition,deletions,insertions,num_file_types,is_preventive,project_changes_owner,is_refactoring,whole_within_project_changes,is_merge,num_directory_files,is_corrective,description_length,num_file_changes,project_age,is_non_functional,subject_length,avg_num_dev_modified_files,last_mth_dep_proj_nbr,ratio_dep_chan_owner,projects_contributed_owner,pctg_cross_project_changes,pctg_cross_project_changes_owner,pred,impact,fold,Classifier,max_num_mod_file_dep_cha,cross_project_changes_owner,min_num_mod_file_dep_cha,cross_project_changes,whole_changes_owner,num_dev_modified_files
0,2.0,11.0,1.0,1,12.0,0,162.5,0,2.0,0,287.0,33.0,571.6971122685186,0,41.0,6.0,0.0,0.0,11.0,0.475959315765141,0.0,0.48768896,0.2505742907524109,1,XGBoost,0.0,,,,,
0,2.0,11.0,1.0,0,124.57071510184525,0,162.5,0,2.0,0,287.0,33.0,571.6971122685186,0,41.0,6.0,0.0,0.0,11.0,0.475959315765141,0.0,0.06041412,-0.8450809121131897,1,XGBoost,0.0,,,,,
0,2.0,11.0,1.0,0,12.0,1,162.5,0,2.0,0,287.0,33.0,571.6971122685186,0,41.0,6.0,0.0,0.0,11.0,0.475959315765141,0.0,0.0065955017,-0.9830872416496277,1,XGBoost,0.0,,,,,
0,2.0,11.0,1.0,0,12.0,0,436.026494129116,0,2.0,0,287.0,33.0,571.6971122685186,0,41.0,6.0,0.0,0.0,11.0,0.475959315765141,0.0,0.2133127,-0.4530050754547119,1,XGBoost,0.0,,,,,
0,2.0,11.0,1.0,0,12.0,0,162.5,1,2.0,0,287.0,33.0,571.6971122685186,0,41.0,6.0,0.0,0.0,11.0,0.475959315765141,0.0,0.389972,0.0,1,XGBoost,0.0,,,,,
0,2.0,11.0,1.0,0,12.0,0,162.5,0,27.5898173593875,0,287.0,33.0,571.6971122685186,0,41.0,6.0,0.0,0.0,11.0,0.475959315765141,0.0,0.25893053,-0.3360278904438019,1,XGBoost,0.0,,,,,
0,2.0,11.0,1.0,0,12.0,0,162.5,0,2.0,1,287.0,33.0,571.6971122685186,0,41.0,6.0,0.0,0.0,11.0,0.475959315765141,0.0,0.5405197,0.38604748249053955,1,XGBoost,0.0,,,,,
0,2.0,11.0,1.0,0,12.0,0,162.5,0,2.0,0,564.3453483441812,33.0,571.6971122685186,0,41.0,6.0,0.0,0.0,11.0,0.475959315765141,0.0,0.5818447,0.49201658368110657,1,XGBoost,0.0,,,,,
0,2.0,11.0,1.0,0,12.0,0,162.5,0,2.0,0,287.0,285.58784815708464,571.6971122685186,0,41.0,6.0,0.0,0.0,11.0,0.475959315765141,0.0,0.7425364,0.9040762782096863,1,XGBoost,0.0,,,,,
0,2.0,11.0,1.0,0,12.0,0,162.5,0,2.0,0,287.0,33.0,897.8883573125842,0,41.0,6.0,0.0,0.0,11.0,0.475959315765141,0.0,0.131661,-0.6623834371566772,1,XGBoost,0.0,,,,,
0,2.0,11.0,1.0,0,12.0,0,162.5,0,2.0,0,287.0,33.0,571.6971122685186,1,41.0,6.0,0.0,0.0,11.0,0.475959315765141,0.0,0.34600145,-0.11275310814380646,1,XGBoost,0.0,,,,,
0,2.0,11.0,1.0,0,12.0,0,162.5,0,2.0,0,287.0,33.0,571.6971122685186,0,52.24455557912226,6.0,0.0,0.0,11.0,0.475959315765141,0.0,0.38620085,-0.009670325554907322,1,XGBoost,0.0,,,,,
0,2.0,11.0,1.0,0,12.0,0,162.5,0,2.0,0,287.0,33.0,571.6971122685186,0,41.0,53.75439341936381,0.0,0.0,11.0,0.475959315765141,0.0,0.87465984,1.2428785562515259,1,XGBoost,0.0,,,,,
0,2.0,11.0,1.0,0,12.0,0,162.5,0,2.0,0,287.0,33.0,571.6971122685186,0,41.0,6.0,4.546589708492331,0.0,11.0,0.475959315765141,0.0,0.3349003,-0.14121966063976288,1,XGBoost,0.0,,,,,
0,2.0,11.0,1.0,0,12.0,0,162.5,0,2.0,0,287.0,33.0,571.6971122685186,0,41.0,6.0,0.0,34.759647324189594,11.0,0.475959315765141,0.0,0.9994629,1.5629093647003174,1,XGBoost,0.0,,,,,
0,2.0,11.0,1.0,0,12.0,0,162.5,0,2.0,0,287.0,33.0,571.6971122685186,0,41.0,6.0,0.0,0.0,37.51648682187039,0.475959315765141,0.0,0.52677,0.35078927874565125,1,XGBoost,0.0,,,,,
0,2.0,11.0,1.0,0,12.0,0,162.5,0,2.0,0,287.0,33.0,571.6971122685186,0,41.0,6.0,0.0,0.0,11.0,0.7172874645400902,0.0,0.60455203,0.5502446889877319,1,XGBoost,0.0,,,,,
0,2.0,11.0,1.0,0,12.0,0,162.5,0,2.0,0,287.0,33.0,571.6971122685186,0,41.0,6.0,0.0,0.0,11.0,0.475959315765141,0.18803233666595387,0.389972,0.0,1,XGBoost,0.0,,,,,
0,2.0,11.0,1.0,0,12.0,0,162.5,0,2.0,0,287.0,33.0,571.6971122685186,0,41.0,6.0,0.0,0.0,11.0,0.475959315765141,0.0,0.7629671,0.9564663767814636,1,XGBoost,6.918395155377915,,,,,
1,2.0,9.0,1.0,0,13.0,0,1103.5,0,2.0,0,281.0,28.0,611.5686168981481,0,40.0,,1.0,2.7777777777777777,13.0,0.4724600552821412,0.0,0.98372006,0.00287632760591805,2,XGBoost,0.0,0.0,,,,
0,3824.7055377295405,9.0,1.0,0,13.0,0,1103.5,0,2.0,0,281.0,28.0,611.5686168981481,0,40.0,,1.0,2.7777777777777777,13.0,0.4724600552821412,0.0,0.95700365,-0.02436034008860588,2,XGBoost,0.0,0.0,,,,
0,2.0,2824.4586996264297,1.0,0,13.0,0,1103.5,0,2.0,0,281.0,28.0,611.5686168981481,0,40.0,,1.0,2.7777777777777777,13.0,0.4724600552821412,0.0,0.9654813,-0.015717623755335808,2,XGBoost,0.0,0.0,,,,
0,2.0,9.0,1.8415798882319345,0,13.0,0,1103.5,0,2.0,0,281.0,28.0,611.5686168981481,0,40.0,,1.0,2.7777777777777777,13.0,0.4724600552821412,0.0,0.9808987,0.0,2,XGBoost,0.0,0.0,,,,
0,2.0,9.0,1.0,1,13.0,0,1103.5,0,2.0,0,281.0,28.0,611.5686168981481,0,40.0,,1.0,2.7777777777777777,13.0,0.4724600552821412,0.0,0.97595906,-0.005035806447267532,2,XGBoost,0.0,0.0,,,,
0,2.0,9.0,1.0,0,131.9086339372402,0,1103.5,0,2.0,0,281.0,28.0,611.5686168981481,0,40.0,,1.0,2.7777777777777777,13.0,0.4724600552821412,0.0,0.9221134,-0.05993000045418739,2,XGBoost,0.0,0.0,,,,
0,2.0,9.0,1.0,0,13.0,1,1103.5,0,2.0,0,281.0,28.0,611.5686168981481,0,40.0,,1.0,2.7777777777777777,13.0,0.4724600552821412,0.0,0.9700379,-0.011072296649217606,2,XGBoost,0.0,0.0,,,,
0,2.0,9.0,1.0,0,13.0,0,1103.5,0,2.0,0,281.0,28.0,611.5686168981481,0,40.0,,1.0,2.7777777777777777,13.0,0.4724600552821412,0.0,0.9051024,-0.07727231085300446,2,XGBoost,0.0,2.4439272127909737,,,,
0,2.0,9.0,1.0,0,13.0,0,2334.75256627135,0,2.0,0,281.0,28.0,611.5686168981481,0,40.0,,1.0,2.7777777777777777,13.0,0.4724600552821412,0.0,0.98834884,0.007595242466777563,2,XGBoost,0.0,0.0,,,,
0,2.0,9.0,1.0,0,13.0,0,1103.5,1,2.0,0,281.0,28.0,611.5686168981481,0,40.0,,1.0,2.7777777777777777,13.0,0.4724600552821412,0.0,0.99652797,0.015933645889163017,2,XGBoost,0.0,0.0,,,,
0,2.0,9.0,1.0,0,13.0,0,1103.5,0,13.530108025853343,0,281.0,28.0,611.5686168981481,0,40.0,,1.0,2.7777777777777777,13.0,0.4724600552821412,0.0,0.96634,-0.014842177741229534,2,XGBoost,0.0,0.0,,,,
0,2.0,9.0,1.0,0,13.0,0,1103.5,0,2.0,1,281.0,28.0,611.5686168981481,0,40.0,,1.0,2.7777777777777777,13.0,0.4724600552821412,0.0,0.9700383,-0.011071871034801006,2,XGBoost,0.0,0.0,,,,
0,2.0,9.0,1.0,0,13.0,0,1103.5,0,2.0,0,652.0603783342647,28.0,611.5686168981481,0,40.0,,1.0,2.7777777777777777,13.0,0.4724600552821412,0.0,0.9896039,0.00887471716850996,2,XGBoost,0.0,0.0,,,,
0,2.0,9.0,1.0,0,13.0,0,1103.5,0,2.0,0,281.0,426.8272396304312,611.5686168981481,0,40.0,,1.0,2.7777777777777777,13.0,0.4724600552821412,0.0,0.98580825,0.00500518037006259,2,XGBoost,0.0,0.0,,,,
0,2.0,9.0,1.0,0,13.0,0,1103.5,0,2.0,0,281.0,28.0,979.8444537806488,0,40.0,,1.0,2.7777777777777777,13.0,0.4724600552821412,0.0,0.9806533,-0.00025017090956680477,2,XGBoost,0.0,0.0,,,,
0,2.0,9.0,1.0,0,13.0,0,1103.5,0,2.0,0,281.0,28.0,611.5686168981481,1,40.0,,1.0,2.7777777777777777,13.0,0.4724600552821412,0.0,0.9511133,-0.030365414917469025,2,XGBoost,0.0,0.0,,,,
0,2.0,9.0,1.0,0,13.0,0,1103.5,0,2.0,0,281.0,28.0,611.5686168981481,0,55.14539365591896,,1.0,2.7777777777777777,13.0,0.4724600552821412,0.0,0.9843551,0.003523721592500806,2,XGBoost,0.0,0.0,,,,
0,2.0,9.0,1.0,0,13.0,0,1103.5,0,2.0,0,281.0,28.0,611.5686168981481,0,40.0,,7.446596652873641,2.7777777777777777,13.0,0.4724600552821412,0.0,0.9757337,-0.0052655600011348724,2,XGBoost,0.0,0.0,,,,
