deletions_source,is_corrective_source,is_refactoring_source,is_preventive_source,is_non_functional_source,has_feature_addition_source,is_merge_source,cross_project_changes_owner_source,pctg_cross_project_changes_owner_source,projects_contributed_owner_source,project_changes_owner_source,ratio_dep_chan_owner_source,project_age_source,last_mth_dep_proj_nbr_source,last_mth_cro_proj_nbr_source,pctg_cross_project_changes_source,whole_within_project_changes_source,num_file_changes_source,num_file_types_source,description_length_source,subject_length_source,insertions_target,deletions_target,num_directory_files_target,is_corrective_target,is_refactoring_target,is_preventive_target,is_non_functional_target,has_feature_addition_target,is_merge_target,pctg_cross_project_changes_owner_target,projects_contributed_owner_target,project_changes_owner_target,ratio_dep_chan_owner_target,project_age_target,last_mth_dep_proj_nbr_target,last_mth_cro_proj_nbr_target,cross_project_changes_target,pctg_cross_project_changes_target,num_file_changes_target,num_file_types_target,description_length_target,subject_length_target,changed_files_overlap,cmn_dev_pctg,num_shrd_file_tkns,num_shrd_desc_tkns,dev_in_src_change_nbr,src_trgt_co_changed_nbr,desc_sim,subject_sim,add_lines_sim,del_lines_sim,pred,impact,fold,Classifier,code_churn_source,within_project_changes_owner_source,whole_changes_owner_source,description_word_count_source,code_churn_target,whole_changes_owner_target,within_project_changes_target,whole_within_project_changes_target,description_word_count_target,num_directory_files_source
1343.2229469534607,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.5,46.0,26.0,12.5,1222.336886574074,3.0,5.0,0.4897119341563786,19319.5,39.0,1.0,301.0,40.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,54.0,44.0,13.333333333333334,1257.1904108796298,3.0,6.0,140.0,0.4892614920874152,53.0,1.0,267.0,37.0,0.0,0.0953429830081812,0.0,0.074074074074074,5.0,1.0,0.40166373499999997,0.51335755,0.43933503329753876,0.0,0.0,0,0,ET,,,,,,,,,,
1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.5,46.0,26.0,12.5,1222.336886574074,3.0,5.0,0.4897119341563786,19319.5,39.0,1.0,301.0,40.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,54.0,44.0,13.333333333333334,1257.1904108796298,3.0,6.0,140.0,0.4892614920874152,53.0,1.0,267.0,37.0,0.0,0.0953429830081812,0.0,0.074074074074074,5.0,1.0,0.40166373499999997,0.51335755,0.43933503329753876,0.0,0.0,0,0,ET,,,,,,,,,,
1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.5,46.0,26.0,12.5,1222.336886574074,3.0,5.0,0.4897119341563786,19319.5,39.0,1.0,301.0,40.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,54.0,44.0,13.333333333333334,1257.1904108796298,3.0,6.0,140.0,0.4892614920874152,53.0,1.0,267.0,37.0,0.0,0.0953429830081812,0.0,0.074074074074074,5.0,1.0,0.40166373499999997,0.51335755,0.43933503329753876,0.0,0.0,0,0,ET,,,,,,,,,,
1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.5,46.0,26.0,12.5,1222.336886574074,3.0,5.0,0.4897119341563786,19319.5,39.0,1.0,301.0,40.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,54.0,44.0,13.333333333333334,1257.1904108796298,3.0,6.0,140.0,0.4892614920874152,53.0,1.0,267.0,37.0,0.0,0.0953429830081812,0.0,0.074074074074074,5.0,1.0,0.40166373499999997,0.51335755,0.43933503329753876,0.0,1.0,0,0,ET,,,,,,,,,,
1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.5,46.0,26.0,12.5,1222.336886574074,3.0,5.0,0.4897119341563786,19319.5,39.0,1.0,301.0,40.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,54.0,44.0,13.333333333333334,1257.1904108796298,3.0,6.0,140.0,0.4892614920874152,53.0,1.0,267.0,37.0,0.0,0.0953429830081812,0.0,0.074074074074074,5.0,1.0,0.40166373499999997,0.51335755,0.43933503329753876,0.0,0.0,0,0,ET,,,,,,,,,,
1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.5,46.0,26.0,12.5,1222.336886574074,3.0,5.0,0.4897119341563786,19319.5,39.0,1.0,301.0,40.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,54.0,44.0,13.333333333333334,1257.1904108796298,3.0,6.0,140.0,0.4892614920874152,53.0,1.0,267.0,37.0,0.0,0.0953429830081812,0.0,0.074074074074074,5.0,1.0,0.40166373499999997,0.51335755,0.43933503329753876,0.0,0.0,0,0,ET,,,,,,,,,,
1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.5,46.0,26.0,12.5,1222.336886574074,3.0,5.0,0.4897119341563786,19319.5,39.0,1.0,301.0,40.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,54.0,44.0,13.333333333333334,1257.1904108796298,3.0,6.0,140.0,0.4892614920874152,53.0,1.0,267.0,37.0,0.0,0.0953429830081812,0.0,0.074074074074074,5.0,1.0,0.40166373499999997,0.51335755,0.43933503329753876,0.0,0.0,0,0,ET,,,,,,,,,,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.2884608516154,0.5,46.0,26.0,12.5,1222.336886574074,3.0,5.0,0.4897119341563786,19319.5,39.0,1.0,301.0,40.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,54.0,44.0,13.333333333333334,1257.1904108796298,3.0,6.0,140.0,0.4892614920874152,53.0,1.0,267.0,37.0,0.0,0.0953429830081812,0.0,0.074074074074074,5.0,1.0,0.40166373499999997,0.51335755,0.43933503329753876,0.0,1.0,0,0,ET,,,,,,,,,,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.7134922155520417,46.0,26.0,12.5,1222.336886574074,3.0,5.0,0.4897119341563786,19319.5,39.0,1.0,301.0,40.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,54.0,44.0,13.333333333333334,1257.1904108796298,3.0,6.0,140.0,0.4892614920874152,53.0,1.0,267.0,37.0,0.0,0.0953429830081812,0.0,0.074074074074074,5.0,1.0,0.40166373499999997,0.51335755,0.43933503329753876,0.0,0.0,0,0,ET,,,,,,,,,,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.5,167.57582230833515,26.0,12.5,1222.336886574074,3.0,5.0,0.4897119341563786,19319.5,39.0,1.0,301.0,40.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,54.0,44.0,13.333333333333334,1257.1904108796298,3.0,6.0,140.0,0.4892614920874152,53.0,1.0,267.0,37.0,0.0,0.0953429830081812,0.0,0.074074074074074,5.0,1.0,0.40166373499999997,0.51335755,0.43933503329753876,0.0,0.0,0,0,ET,,,,,,,,,,
