Feature,Ranking,Classifier,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9,median
dev_in_src_change_nbr,1,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
dev_in_src_change_nbr,1,RF,0.4473684210526317,2.7500000000000004,0.23809523809523814,0.3090909090909089,0.5319148936170213,0.4150943396226414,0.5576923076923077,0.3921568627450979,0.2622950819672132,0.30508474576271194,0.4036256011838697
dev_in_src_change_nbr,1,XGBoost,15.95409870147705,1.3491302728652954,0.23461946845054626,0.191559299826622,0.5004209876060486,0.19913338124752045,1.157923698425293,-0.04822930321097374,0.053231626749038696,0.6229457855224609,0.3675202280282974
dev_in_src_change_nbr,1,AdaBoost,0.010157497233301895,0.026073280089668617,0.008852979715042512,0.012639348054555818,0.012054865614422764,0.009967801993057596,0.014764716974522609,0.011450185645478807,0.011685141874367975,0.013380009897819777,0.011870003744395369
src_trgt_co_changed_nbr,2,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
src_trgt_co_changed_nbr,2,RF,0.4473684210526317,2.7500000000000004,0.19047619047619047,0.36363636363636354,0.23404255319148934,0.4716981132075471,0.34615384615384603,0.4509803921568627,0.180327868852459,0.22033898305084748,0.3548951048951048
src_trgt_co_changed_nbr,2,XGBoost,37.100547790527344,1.3491302728652954,0.3070289194583893,0.8591130971908569,0.41689333319664,0.5612545609474182,0.9014387130737305,0.1742771714925766,0.2121143788099289,0.897565484046936,0.7101838290691376
src_trgt_co_changed_nbr,2,AdaBoost,0.01254560827675553,0.026073280089668617,0.009399948617954582,0.009765295540467634,0.00838641623292798,0.006355216426349345,0.00649923332494003,0.0034717953550666104,0.007423720602331216,0.006717307446474568,0.007905068417629599
num_shrd_desc_tkns,3,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
num_shrd_desc_tkns,3,RF,1.3421052631578947,2.7500000000000004,0.4444444444444445,0.6909090909090908,0.872340425531915,0.6981132075471698,0.7115384615384615,0.823529411764706,0.47540983606557385,0.5254237288135595,0.7048258345428156
num_shrd_desc_tkns,3,XGBoost,48.586463928222656,1.3491302728652954,0.3426263630390167,0.9971987009048462,0.5671632289886475,0.61818528175354,1.4383774995803833,0.2790314257144928,0.2357630580663681,1.0885839462280273,0.8076919913291931
num_shrd_desc_tkns,3,AdaBoost,0.03989202993615107,0.026073280089668617,0.03335486447633468,0.03374978595333594,0.040165933700883984,0.040681233283883726,0.03995826836339677,0.033694289300118474,0.034347764860426795,0.03274926539551503,0.034048775406881365
cmn_dev_pctg,4,ET,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
cmn_dev_pctg,4,RF,0.6052631578947368,2.7500000000000004,0.2698412698412699,0.25454545454545435,0.5106382978723404,0.3584905660377357,0.44230769230769224,0.5294117647058824,0.24590163934426235,0.16949152542372878,0.400399129172714
cmn_dev_pctg,4,XGBoost,3.6614091396331787,1.3491302728652954,0.034763187170028687,0.058088913559913635,0.041025061160326004,0.2204493135213852,0.13065703213214874,0.025330977514386177,0.10826710611581802,-0.09758222848176956,0.08317800983786583
cmn_dev_pctg,4,AdaBoost,0.004048528717768728,0.026073280089668617,0.003141238097112441,0.0,0.004935295800253908,0.006576953837728574,0.002977500925073726,0.006321469269158214,0.007695539625835114,0.002955793570447267,0.004935295800253908
last_mth_cro_proj_nbr_source,4,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
last_mth_cro_proj_nbr_source,4,RF,-0.026315789473684233,2.7500000000000004,-0.12698412698412692,-0.23636363636363644,-0.21276595744680848,-0.16981132075471703,-0.40384615384615385,-0.2549019607843137,-0.19672131147540983,-0.2372881355932203,-0.20474363446110916
last_mth_cro_proj_nbr_source,4,XGBoost,-0.32820647954940796,1.3491302728652954,-0.4996720254421234,-0.4706551730632782,-0.728182315826416,-0.7103562355041504,-0.762641966342926,-0.772604763507843,-0.4521652162075043,-0.702698826789856,-0.6011854261159897
last_mth_cro_proj_nbr_source,4,AdaBoost,0.0,0.026073280089668617,-0.010111238051603933,-0.015619139731558396,-0.019413772522305865,-0.014246653222663393,-0.005966425387625879,-0.011339912799183682,-0.010450639497058866,-0.00789111371917106,-0.010450639497058866
project_changes_owner_source,4,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
project_changes_owner_source,4,RF,0.0,-0.125,-0.12698412698412692,-0.18181818181818185,-0.042553191489361625,-0.07547169811320761,-0.11538461538461538,-0.03921568627450984,-0.06557377049180334,-0.08474576271186429,-0.08474576271186429
project_changes_owner_source,4,XGBoost,-0.2791990041732788,0.08643492311239243,-0.055700626224279404,-0.246256485581398,-0.15398617088794708,-0.25797760486602783,-0.21780847012996674,-0.13091208040714264,-0.22467267513275146,-0.25030162930488586,-0.2212405726313591
project_changes_owner_source,4,AdaBoost,0.0,-0.0017470950958408627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017470950958408627
changed_files_overlap,5,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
changed_files_overlap,5,RF,0.21052631578947373,1.6250000000000002,0.015873015873015886,0.03636363636363619,0.2765957446808511,0.0754716981132074,0.17307692307692302,0.23529411764705882,0.016393442622950834,0.18644067796610167,0.17975880052151233
changed_files_overlap,5,XGBoost,0.4245414435863495,0.031430162489414215,-0.14487771689891815,-0.3386923372745514,0.18178556859493256,0.009216281585395336,0.09728153049945831,0.08867804706096649,0.027556680142879486,0.49364185333251953,0.06005410477519035
changed_files_overlap,5,AdaBoost,0.00796681238023858,0.012203340440041843,0.006457867296291941,0.0,0.0007758844062236915,0.0031775948571812936,0.0010713494791244622,0.006851419740281945,0.006307093234869232,0.008540998216393154,0.006457867296291941
last_mth_cro_proj_nbr_target,5,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
last_mth_cro_proj_nbr_target,5,RF,-0.05263157894736847,2.7500000000000004,-0.20634920634920637,-0.12727272727272737,-0.1276595744680851,-0.16981132075471703,-0.13461538461538464,-0.19607843137254907,0.0,-0.1016949152542372,-0.1276595744680851
last_mth_cro_proj_nbr_target,5,XGBoost,-0.4420097768306732,1.3491302728652954,-0.5437636971473694,-0.4782399535179138,-0.39434173703193665,-0.3484575152397156,-0.39245229959487915,-0.3541211783885956,-0.14852496981620789,-0.3817752003669739,-0.3871137499809265
last_mth_cro_proj_nbr_target,5,AdaBoost,0.0,0.026073280089668617,-0.006263489949424706,-0.00888623411912419,-0.005440536158418338,-0.008770711063500186,-0.007754923271583994,-0.009146048770389792,-0.006934811143797358,-0.007447823767376405,-0.007447823767376405
whole_changes_owner_target,5,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
whole_changes_owner_target,5,RF,0.0,-0.4583333333333333,-0.07936507936507943,-0.18181818181818185,-0.23404255319148934,-0.1320754716981132,-0.13461538461538464,-0.17647058823529416,-0.2295081967213115,-0.18644067796610167,-0.18181818181818185
whole_changes_owner_target,5,XGBoost,0.0,-0.8235896825790405,-0.4784144461154938,-0.45964717864990234,-0.586346447467804,-0.21752840280532837,-0.6023736596107483,-0.6780500411987305,-0.39495259523391724,-0.6580864787101746,-0.586346447467804
whole_changes_owner_target,5,AdaBoost,0.0,-0.001503546466008682,0.0,-0.006487325869909536,-0.005982998618464707,-0.0028248910232966332,-0.00793249843158651,-0.005791081455635089,0.0,-0.005390867276477698,-0.005791081455635089
