Classifier,Precision,Recall,F1,F2,AUC,Brier,AUC Scores,Precision Scores,Recall Scores,F1 Scores,F2 Scores,Brier Scores
XGBoost,0.251296895429742,0.7715172978238318,0.36911627419940995,0.5256016152307342,0.7932912880371927,0.1894821381685638,"[0.8706122065139024, 0.8010027038506795, 0.8182631869796959, 0.8240966220467782, 0.7906630026028331, 0.7567743192090799, 0.7965560318281409, 0.754608819115736, 0.7514672330554001, 0.768868755169682]","[0.1677762982689747, 0.13415941345452986, 0.19885586369854497, 0.21212693615413675, 0.23450272479564033, 0.35422544672846973, 0.30956500984545615, 0.31341506129597196, 0.3114854050758326, 0.27685679497986326]","[0.8, 0.9309729247247843, 0.8478260869565217, 0.8539923954372624, 0.8074667709147771, 0.6821474773609314, 0.7919401618073576, 0.6777760945311316, 0.6572853007397877, 0.6657657657657657]","[0.2773802971931756, 0.23452256033578175, 0.3221517074644908, 0.3398396126494175, 0.36345240190040473, 0.4663070392642377, 0.4451308451308451, 0.4286261735964744, 0.4226692176431046, 0.3910828868161672]","[0.4561911658218682, 0.4255174477112628, 0.5129932627526468, 0.5320257722190639, 0.5424107142857143, 0.5755796183906039, 0.6037753415729814, 0.5499151896555963, 0.5378622377806438, 0.5197454021169603]","[0.060836795527205896, 0.31547407601896615, 0.20785519020186263, 0.20215608445178926, 0.22348525800423186, 0.18641790353221, 0.19976215114213786, 0.18422475172594868, 0.17244042195005174, 0.14216874913123387]"
AdaBoost,0.17168677379768027,0.9247340297237422,0.28661905866460136,0.48286364421316375,0.7856323974090953,0.330574389547006,"[0.8656613574171018, 0.7476418529450599, 0.8106409998882598, 0.7829848190154842, 0.7900031800997034, 0.7795193546710303, 0.7789755617584165, 0.7514161990707008, 0.7662811170118685, 0.7831995322133283]","[0.09476162448499117, 0.10027889300928622, 0.16278298759117174, 0.1356252226576416, 0.18627835779888532, 0.256997179431547, 0.21345089194176747, 0.19854180168502916, 0.19990977861059062, 0.16824100076589227]","[0.8518518518518519, 0.9735197857780422, 0.91118769883351, 0.9650190114068441, 0.9276778733385458, 0.919404915912031, 0.953442222561441, 0.9281926980760491, 0.9265036989385654, 0.8905405405405405]","[0.1705508474576271, 0.18182828563489858, 0.27621956119906776, 0.23782601905356865, 0.31025691312021964, 0.4017069862084558, 0.3488118839527546, 0.3271135314059956, 0.3288617422080146, 0.2830148164054112]","[0.32790224032586557, 0.35508866364248043, 0.47469753052317554, 0.4340935005701254, 0.5165208306125114, 0.6066684877249291, 0.5630476327840479, 0.5349783459066778, 0.5365058670143416, 0.4791333430274829]","[0.12093224396497135, 0.4547855499096483, 0.27819049531252416, 0.37686688186325235, 0.3259147141952523, 0.3269649559052929, 0.3601865723508425, 0.3893153350734397, 0.36316740543963427, 0.30941974145520257]"
RF,0.36111300938066015,0.5690772516599959,0.41302413471202104,0.4791221822463044,0.7438939207655035,0.11039430398319613,"[0.8117552169086604, 0.8271963681794928, 0.7969629478903486, 0.7818937981869635, 0.7563183306288587, 0.6984960206031015, 0.7261668425951688, 0.699716236244728, 0.669332217674753, 0.6711012287429619]","[0.176372248537197, 0.20681970135948294, 0.2715600040440805, 0.3608040201005025, 0.3381248659086033, 0.49734265734265737, 0.43947669249333166, 0.4149920676890534, 0.4591758870660053, 0.4464619492656876]","[0.6698412698412698, 0.8283249033025886, 0.7120890774125133, 0.6370088719898606, 0.616106333072713, 0.460025873221216, 0.5281636391390627, 0.47553400999848505, 0.3871019620456739, 0.37657657657657656]","[0.2792236435818262, 0.33099512543098325, 0.3931786576886482, 0.4606782768102658, 0.4366255714087824, 0.47795698924731184, 0.47975596228508044, 0.4432050829509354, 0.4200698080279232, 0.4085522296884545]","[0.4295019677025377, 0.5173759524251997, 0.5376516273669882, 0.5524291052978677, 0.5291076344591419, 0.46703441029682163, 0.5076737975760777, 0.4620525200188413, 0.3996480042505147, 0.3887468030690537]","[0.05047338100606978, 0.17381500301172256, 0.12805226496980554, 0.09087679738057362, 0.12562744219809413, 0.11997467064111078, 0.11589726164918839, 0.12181259363368187, 0.10264568242544056, 0.07476794291627412]"
ET,0.12199290345815803,0.7375863176456285,0.2052770705100671,0.3508299322117854,0.6413290542698193,0.4418042534789257,"[0.4898926971322821, 0.6303251990009653, 0.6719093060495823, 0.7025454394156619, 0.6692527053497854, 0.6267010989505162, 0.6783138746865652, 0.6439693635805617, 0.6357692137902118, 0.6646116447420607]","[0.014154148993508775, 0.07460851028941543, 0.09609070070008054, 0.12103492470362064, 0.13409538280899264, 0.17244985849637012, 0.17288124018302262, 0.1610991752720216, 0.14816585832365597, 0.12534923481089197]","[0.6391534391534391, 0.8122582564712884, 0.8223753976670202, 0.7660329531051965, 0.7589913995308835, 0.7252263906856403, 0.7728591054800794, 0.7042872292076958, 0.6976519781280155, 0.677027027027027]","[0.02769498830757944, 0.13666399679615537, 0.17207522050257945, 0.2090409158510013, 0.22792240190179908, 0.27864207962622395, 0.2825571336886458, 0.26221833667052086, 0.24442190669371197, 0.21153372506245383]","[0.06501194755989925, 0.2728090336764265, 0.32742241925269155, 0.3708157455580642, 0.39284919366261306, 0.44191839566122215, 0.4562083258244729, 0.420632622778763, 0.4005540166204986, 0.3600776215232026]","[0.6550110429826864, 0.5327196626870743, 0.461025221245772, 0.3532055539252784, 0.4063045392064497, 0.4482987628770445, 0.3970994795125643, 0.4040496084760684, 0.4142276862248444, 0.3461009776514742]"
MLP,0.13602705289155254,0.6891949839640803,0.16954407738173538,0.2741339454788787,0.584626892870677,0.5019197800670302,"[0.7071171824737543, 0.5874765131162888, 0.561204796830577, 0.5488583796418877, 0.6688161496696997, 0.5068023651328791, 0.5335721972770282, 0.6245142061335941, 0.514503912340294, 0.5934032260907666]","[0.02682733470746789, 0.07540886865621312, 0.0659897574507433, 0.24628776241679468, 0.2113097713097713, 0.12084421098984054, 0.291988416988417, 0.13898645258404416, 0.09865514083262368, 0.08397281297960973]","[0.8952380952380953, 0.5322820589110384, 0.9838282078472959, 0.12192648922686945, 0.496677091477717, 0.9940491591203104, 0.09235231262402686, 0.8392667777609453, 0.9874557735606304, 0.9488738738738739]","[0.052093596059113303, 0.13210263983754847, 0.1236835088654846, 0.16310613767378773, 0.29648211889621373, 0.215491614784901, 0.1403223935985156, 0.2384795850283033, 0.1793879190709225, 0.15429126000256357]","[0.11977913068101373, 0.24066401205337926, 0.2601508608602995, 0.13562285005357244, 0.39105543414694205, 0.4065350348126045, 0.10698118545763191, 0.4180248702161053, 0.3524320104696415, 0.310094066037597]","[0.47551237895192056, 0.36305929232242423, 0.8121766259440591, 0.07623519236412497, 0.18624801149087988, 0.8641018116669498, 0.11449179112545756, 0.5464500285727524, 0.8676077656107619, 0.7133149026209709]"
