number,worked_revisions,reason,comment,reviewer_suggest,mohammed_category
447627,17,New features,"The developer is not familiar with the two depednnt changes, in which they have no contribution and Complex change (+107 added lines) which is about a new service for depolying containers",1,
455149,2,Refactoring,,0,
457491,2,Dependency,,0,
458201,3,Refactoring,'A lot of failures related to oslo.config update; would be fixed after merging https://review.openstack.org/#/c/465093/',1,
462609,1,Refactoring,,0,
464124,2,New features,,0,
467608,1,Configuration,,0,
469981,152,New features,Complex changes (+2425) which involve a new major feature related 'Designate',0,
473081,3,Configuration,Complex changes (+2425) which involve a new major feature related 'Designate',0,
473804,1,Configuration,Developer is unfamiliar with the project in the dependency (0 change),0,
474782,1,Configuration,,0,
474896,1,Configuration,,0,
476109,2,Tests,,0,
479130,1,Moving resources,,0,
483059,1,Configuration,,0,
484152,1,Code enhancement,,0,
484295,1,New features,,0,
487657,1,New features,,0,
488253,1,Configuration,,0,
488258,3,Dependency,"Created by bot, but uploaded by a human",0,
489947,1,Dependency,,0,
490963,4,Tests,,0,
492788,1,Dependency,,0,
493098,2,Configuration,,0,
500600,1,Tests,,0,
502548,2,Tests,,0,
504182,5,New features,,0,
507353,3,Dependency,,0,
508691,1,Configuration,,0,
508785,15,Dependency,,0,
510429,1,Dependency,,0,
510731,1,Configuration,,0,
512836,2,Dependency,,0,
513485,1,Moving resources,,0,
513548,2,Moving resources,,0,
514496,22,Tests,,0,
514837,2,Configuration,,0,
515020,7,Configuration,,0,
517673,1,New features,,0,
518018,5,Docs,,0,
518286,1,Dependency,,0,
518308,2,Tests,,0,
518829,1,Dependency,,0,
519567,5,Dependency,,0,
519843,1,Configuration,,0,
519888,1,Configuration,,0,
519913,1,Configuration,,0,
522033,4,Configuration,,0,
522573,1,New features,,0,
523280,1,Configuration,,0,
523359,4,Moving resources,,0,
524317,2,Refactoring,,0,
526017,2,Refactoring,,0,
527970,1,Configuration,,0,
528649,1,Configuration,,0,
528650,1,Moving resources,,0,
532813,3,Refactoring,,0,
535311,3,Tests,,0,
536354,1,Code enhancement,,0,
536798,1,Renaming,,0,
536980,4,Docs,,0,
537611,2,Moving resources,,0,
540670,1,Moving resources,,0,
540777,1,Dependency,,0,
542064,2,New features,,0,
544531,1,Configuration,,0,
546057,2,New features,,0,
546260,4,Dependency,,0,
548359,1,Refactoring,,0,
549878,1,Refactoring,,0,
557042,2,Code enhancement,"It has been abandoned, then reopened where the deps has been added",0,
557452,1,Tests,,0,
558436,1,Refactoring,,0,
558584,2,Refactoring,Dependency was added 7 min after the 1st patch was published,0,
558762,23,Configuration,Dependency was added 7 min after the 1st patch was published,0,
559182,4,Configuration,,0,
559235,2,Docs,,0,
559244,2,Docs,,0,
563180,1,Refactoring,,0,
563326,2,Dependency,Deps was added 20 min after the 1st patchset,0,
563777,1,Configuration,,0,
565817,1,Refactoring,,0,
566366,10,New features,,0,
567891,1,Moving resources,,0,
568089,2,Configuration,"The developer has no idea that same changes should be done to other projects. Hence, the reviewer suggested: 'Please add release note. Also we need to update defaults in THT/docker/services/octavia/octavia-deployment-config.yaml. Create such patch and make this patch dependent on it.'",1,
568581,2,Configuration,,0,
570074,8,Configuration,,0,
571540,1,Dependency,,0,
571751,1,Refactoring,,0,
571776,1,Refactoring,,0,
571938,1,Configuration,,0,
